TWDX;08年台湾大选中，国民党马英九不敌民进党谢长廷，今后的台湾将在民进党的统治下与大陆越来越远，此时此刻是收复台湾的最好时机，让我们行动吧。;;;;;;;;;;;x
CBBJAYH;2001年7月13日，在莫斯科举行的国际奥委会第112次全会上，国际奥委会投票选定北京获得2008年奥运会主办权，这也是奥运会继东京（1964年）、首尔（1988年）之后第三次花落亚洲。北京还提出了一个非常好的比赛规划以及场馆建设方案，这将给奥林匹克运动的发展和北京人民的生活留下一笔宝贵的财富。;;;;;;;;;;;x
BJAYHKMS;2008年8月8日晚20时，举世瞩目的北京第二十九届奥林匹克运动会开幕式在国家体育场（鸟巢）隆重举行。时任国家主席胡锦涛出席开幕式并宣布本届奥运会开幕。具有两千多年历史的奥林匹克运动与五千多年传承的灿烂中华文化交相辉映，共同谱写人类文明气势恢弘的新篇章。;;;;;;;;;;;x
BJAYHBMS;本届北京奥运会共创造43项新世界纪录及132项新奥运纪录，共有87个国家在赛事中取得奖牌，中国以51枚金牌居金牌榜首名，是奥运历史上首个登上金牌榜首的亚洲国家。;;;;;;;;;;;x
WCDDZ1;汶川大地震，也称2008年四川大地震，发生于北京时间（UTC+8）2008年5月12日（星期一）14时28分04秒，震中位于中国四川省阿坝藏族羌族自治州汶川县映秀镇与漩口镇交界处 、四川省省会成都市西北偏西方向79千米处。根据中国地震局的数据，此次地震的面波震级达8.0Ms、矩震级达8.3Mw（根据美国地质调查局的数据，矩震级为7.9Mw），破坏地区超过10万平方千米。地震烈度可能达到11度。地震波及大半个中国及亚洲多个国家和地区。北至辽宁，东至上海，南至香港、澳门、泰国、越南，西至巴基斯坦均有震感。;;;;;;;;;;;x
WCDDZ2;七大军区皆以派出部队参与救灾，第15空降军也派出了空降旅直接支援灾区。;;;;;;;;;;;x
WCDDZ3;我们国家遭到了地震，目前灾民急需救助，我们是否取消奥运会，全力救灾。;;;;;;;;;;;x
WCDDZ4;外国已经发出了想要对我们派出救援队的意向，我们是否需要支援那。;;;;;;;;;;;x
WCDDZ5;日本救援队已被发现，存在侦查我国科研单位和核设施的行为。;;;;;;;;;;;x
NFBFXZ;2008年1月10日起中国浙江、江苏、安徽、江西、河南、湖北、湖南、广东、广西、重庆、四川、贵州、云南、陕西、甘肃、青海、宁夏、新疆和新疆生产建设兵团等19个省级行政区均受到低温、雨雪、冰冻灾害影响。其中湖南、湖北、贵州、广西、江西、安徽等6省、区受灾最为严重。截止到1月31日18时，因灾造成的直接经济损失已经达到了537.9亿元。;;;;;;;;;;;x
