Tag;英语;法语;德语;;;;;;;;;;;
STRAT_RESOURCE_EXPLANATION;主要阵营的成员如果存在于世界的相同部分，可以分享阵营内的战略资源。阵营领袖可以从立场接近的国家那里以相同的方式获取资源。;;;;;;;;;;;;x;x
CONFIRM_REMOVEAll_TITLE;所有将领卸任;;;;;;;;;;;;x;x
CONFIRM_REMOVEALL_DESC;这将使所有将领从他们所在的部队卸任。请注意这是不可逆的。;;;;;;;;;;;;x;x
REMOVE_ALL_LEADER;全部卸任;;;;;;;;;;;;x;x
GIESWAPOTHER_SETUP;当他国组建了傀儡政府。;;;;;;;;;;;;x;x
GIESWAPOTHER_HEADER;$minister_of_intelligence$报告;;;;;;;;;;;;x;x
GIESWAPOTHER_1;政府重建;;;;;;;;;;;;x;x
GIESWAPOTHER_2;$VICTIM$现在已经成为$FACTION$的傀儡。;;;;;;;;;;;;x;x
GIESWAPOTHER_3;$BOSS$已经在$CAPITAL$组建了一个忠诚的$GOVERNMENT$政府。;;;;;;;;;;;;x;x
GIESWAPOTHER_4;*;;;;;;;;;;;;x;x
GIESWAPOTHER_5;*;;;;;;;;;;;;x;x
GIESWAPOTHER_6;*;;;;;;;;;;;;x;x
GIESWAPOTHER_LOG;$BOSS$已经将$VICTIM$变为$FACTION$新的傀儡。;;;;;;;;;;;;x;x
GIESWAPOTHER_BTN1;好的;;;;;;;;;;;;x;x
GIESWAPOTHER_BTN2;好的;;;;;;;;;;;;x;x
GIESWAPOTHER_BTN3;查看;;;;;;;;;;;;x;x
GIESWAPOTHER_MAP;傀儡建立！;;;;;;;;;;;;x;x
GIESWAP_SETUP;当我国组建了傀儡政府。;;;;;;;;;;;;x;x
GIESWAP_HEADER;$minister_of_intelligence$报告;;;;;;;;;;;;x;x
GIESWAP_1;政府重建;;;;;;;;;;;;x;x
GIESWAP_2;$VICTIM$现在已经成为$FACTION$的傀儡。;;;;;;;;;;;;x;x
GIESWAP_3;我们已经在$CAPITAL$组建了一个忠诚的$GOVERNMENT$政府。;;;;;;;;;;;;x;x
GIESWAP_4;*;;;;;;;;;;;;x;x
GIESWAP_5;*;;;;;;;;;;;;x;x
GIESWAP_6;*;;;;;;x;;;;;;x;x
GIESWAP_LOG;我们已经将$VICTIM$变为$FACTION$新的傀儡。;;;;;;;;;;;;x;x
GIESWAP_BTN1;好的;;;;;;;;;;;;x;x
GIESWAP_BTN2;好的;;;;;;;;;;;;x;x
GIESWAP_BTN3;查看;;;;;;;;;;;;x;x
GIESWAP_MAP;傀儡建立！;;;;;;;;;;;;x;x
GIESWAPFORUS_SETUP;当我国的流亡政府成为傀儡;;;;;;;;;;;;x;x
GIESWAPFORUS_HEADER;$minister_of_intelligence$报告;;;;;;;;;;;;x;x
GIESWAPFORUS_1;政府重建;;;;;;;;;;;;x;x
GIESWAPFORUS_2;我们已经成为$FACTION$的傀儡。;;;;;;;;;;;;x;x
GIESWAPFORUS_3;$BOSS$已经在$CAPITAL$组建了一个忠诚的$GOVERNMENT$政府。;;;;;;;;;;;;x;x
GIESWAPFORUS_4;*;;;;;;;;;;;;x;x
GIESWAPFORUS_5;*;;;;;;;;;;;;x;x
GIESWAPFORUS_6;*;;;;;;x;;;;;;x;x
GIESWAPFORUS_LOG;$BOSS$已经将我们变为$FACTION$新的傀儡。;;;;;;;;;;;;x;x
GIESWAPFORUS_BTN1;好的;;;;;;;;;;;;x;x
GIESWAPFORUS_BTN2;好的;;;;;;;;;;;;x;x
GIESWAPFORUS_BTN3;查看;;;;;;;;;;;;x;x
GIESWAPFORUS_MAP;傀儡建立！;;;;;;;;;;;;x;x
support_attack_eff;补给进攻效率;;;;;;;;;;;;x;x
strategic_redeployment_eff;战略部署效率;;;;;;;;;;;;x;x
move_order_eff;移动效率;;;;;;;;;;;;x;x
rebase_eff;海军转场效率;;;;;;;;;;;;x;x
reserves_eff;海军后备效率;;;;;;;;;;;;x;x
patrol_eff;海军巡逻效率;;;;;;;;;;;;x;x
intercept_eff;海军拦截效率;;;;;;;;;;;;x;x
sortie_eff;海军突击效率;;;;;;;;;;;;x;x
convoy_escort_eff;护航运输效率;;;;;;;;;;;;x;x
convoy_raid_eff;护航袭击效率;;;;;;;;;;;;x;x
air_convoy_raid_eff;空军护航袭击效率;;;;;;;;;;;;x;x
transport_eff;运输效率;;;;;;;;;;;;x;x
invasion_eff;侵入效率;;;;;;;;;;;;x;x
strategic_bomb_eff;战略轰炸效率;;;;;;;;;;;;x;x
logistical_strike_eff;后勤打击效率;;;;;;;;;;;;x;x
runway_cratering_eff;机场轰炸效率;;;;;;;;;;;;x;x
installation_strike_eff;营房袭击效率;;;;;;;;;;;;x;x
ground_attack_eff;地面攻击效率;;;;;;;;;;;;x;x
interdiction_eff;封锁效率;;;;;;;;;;;;x;x
