JOIN_FACTION_INTENTION;$COUNTRY$? 将加入 $FACTION$?.;;;;;;;;;;X
LOWEST_TECH_LEVEL;最低科技等级是 $LEVEL$?.;;;;;;;;;;X
sino_jap_peace_region;日占中国沿海地区;;;;;;;;;;X
CAN_NOT_JOIN_WAR_NAP;该国与$COUNTRY$?签订了互不侵犯协议，所以无法参加我们的战争。;;;;;;;;;;X
BP_TOOL_ARROW_SLIM_DASHED;细虚线箭头;;;;;;;;;;X
BP_TOOL_ARROW_MEDIUM_1_DASHED;中等虚线箭头1;;;;;;;;;;X
BP_TOOL_ARROW_MEDIUM_2_DASHED;中等虚线箭头2;;;;;;;;;;X
BP_TOOL_ARROW_MEDIUM_3_DASHED;中等虚线箭头3;;;;;;;;;;X
BP_TOOL_ARROW_THICK_DASHED;粗虚线箭头;;;;;;;;;;X
BP_OPEN_TOOLTIP;打开/关闭战役计划编辑器.;;;;;;;;;;X
BP_TOGGLE_TOOLTIP;显示/隐藏现有战役计划.;;;;;;;;;;X
panzer_leader;战术大师;;;;;;;;;;X
BUILD_CA_BONUS_VALUE;混合兵种战斗加成;;;;;;;;;;X
ENDGAMEBUTTON_winter_war_FIN_LOSS;好的;;;;;;;;;;X
ENDGAMEBUTTON_winter_war_FIN_WIN;好的;;;;;;;;;;X
ENDGAMEBUTTON_winter_war_SOV_LOSS;好的;;;;;;;;;;X
ENDGAMEBUTTON_winter_war_SOV_WIN;好的;;;;;;;;;;X
ENDGAMEBUTTON_SCW_SPR_LOSS;好的;;;;;;;;;;X
ENDGAMEBUTTON_SCW_SPR_WIN;好的;;;;;;;;;;X
ENDGAMEBUTTON_SCW_SPA_LOSS;好的;;;;;;;;;;X
ENDGAMEBUTTON_SCW_SPA_WIN;好的;;;;;;;;;;X
LEND_LEASE_DESC;要求工业援助;;;;;;;;;;X
LEND_LEASE_CANCEL_DESC;取消工业援助;;;;;;;;;;X
ACT_LENDLEASE_ONLY_AT_WAR;我们必须在战争状态下才能请求工业援助;;;;;;;;;;X
ACT_LENDLEASE_NEUTRALITY;他们的中立度必须低于$LIMIT$?，现值为$VAL$?;;;;;;;;;;X
LEND_LEASE_DESCRIPTION;请求他们租借给我国一部分工业生产能力;;;;;;;;;;X
LEND_LEASE_BREAK_DESCRIPTION;取消租借;;;;;;;;;;X
ASK_LEND_LEASE_DESC;$ACTOR$? 向我们请求工业援助。\n这将租借给该国我们的一部分工业生产能力。;;;;;;;;;;X
LEND_LEASE_RECEIVED_VALUE;工业援助: $VAL$?;;;;;;;;;;X
LEND_LEASE_MAX_VALUE;(最大: $MAX$?);;;;;;;;;;X
LEND_LEASE_ALLOWED_NEIGHBOUR;IC将通过陆地运输，因为我们是陆路邻国。;;;;;;;;;;X
LEND_LEASE_ALLOWED_CONVOY;IC将通过海上运输，由$COUNTRY$?提供运输船队。;;;;;;;;;;X
LEND_LEASE_ALLOWED_TELEPORT;IC将通过陆地运输，因为我们在同一大洲。;;;;;;;;;;X
LEND_LEASE_NOT_ALLOWED;不符合工业援助要求.;;;;;;;;;;X
LEND_LEASE_CONVOYED_TO;给$COUNTRY$的IC;;;;;;;;;;X
LEND_LEASE_CONVOYED_FROM;来自$COUNTRY$的IC;;;;;;;;;;X
LEND_LEASE_CONVOY_DESC;这只运输船队正在将$FROM$?的工业生产能力运往$TO$?。\n护航效率影响最终运达的IC数量。;;;;;;;;;;X
LEND_LEASE_FROM_LIST;正在接受$COUNTRIES$的工业援助;;;;;;;;;;X
LEND_LEASE_TO_LIST;正在给予$COUNTRIES$工业援助;;;;;;;;;;X
LENDDECLINE_SETUP;当一个国家拒绝给你工业援助.;;;;;;;;;;X
LENDDECLINE_HEADER;$minister_of_foreign$报告;;;;;;;;;;X
LENDDECLINE_1;工业援助遭拒!;;;;;;;;;;X
LENDDECLINE_2;$MONARCHTITLE$;;;;;;;;;;X
LENDDECLINE_3;$RECIPIENT$;;;;;;;;;;X
LENDDECLINE_4;拒绝;;;;;;;;;;X
LENDDECLINE_5;向我们提供工业援助.;;;;;;;;;;X
LENDDECLINE_6;*;;;;;;;;;;X
LENDDECLINE_LOG;$RECIPIENT$拒绝向我们提供工业援助.;;;;;;;;;;X
LENDDECLINE_BTN1;好的;;;;;;;;;;X
LENDDECLINE_BTN2;好的;;;;;;;;;;X
LENDDECLINE_BTN3;转到;;;;;;;;;;X
LENDDECLINE_MAP;*;;;;;;;;;;X
